文件夹名,圣人名称,介绍,纪念日
圣斯德望-saint-1112901,圣斯德望,殉道 St. Stephen the Younger,11月29日
圣斯德望国王-saint-1081601,圣斯德望国王,St. Stephen of Hungary,8月16日
圣方济各•加辣巧洛-saint-1060401,圣方济各•加辣巧洛,末位神职界修会会祖 St. Francis Caracciolo,6月4日
圣方济各•基罗拉莫-saint-1051102,圣方济各•基罗拉莫,St. Francis Di Girolamo,5月11日
圣方济各•撒肋爵-saint-1012401,圣方济各•撒肋爵,主教圣师 St. Francis de Sales,1月24日
圣方济各•沙勿略-saint-1120301,圣方济各•沙勿略,St. Francis Xavier,12月3日
圣方济各•沙勿略•白英奇-saint-1013102,圣方济各•沙勿略•白英奇,St. Francis Xavier Bianchi,1月31日
圣方济各•沙拉纳-saint-1072401,圣方济各•沙拉纳,St. Francis Salasno,7月24日
圣方济各•玻尔日亚-saint-1101001,圣方济各•玻尔日亚,St. Francis Borgia,10月10日
圣方济各保拉-saint-1040201,圣方济各保拉,最小兄弟会会祖 St. Francis of Paola,4月2日
圣方济各受五伤痕-saint-1091702,圣方济各受五伤痕,The Stigmata of St. Francis,9月17日
圣施礼华-saint-1062602,圣施礼华,司铎 St. Josemaria,6月26日
圣日多列和殉道烈士-saint-1061001,圣日多列和殉道烈士,Ss. Getulius and his Companions,6月10日
圣日曼诺斯-saint-1052801,圣日曼诺斯,巴黎主教 St. Gemanus,5月28日
圣旦利塞-saint-1090102,圣旦利塞,St. Drithelm,9月1日
圣普罗多、圣雅钦多-saint-1091101,圣普罗多、圣雅钦多,殉道 Ss. Prtcals & Hvacinth,9月11日
圣本笃-saint-1071101,圣本笃,院长 St. Benedict 480-547,7月11日
圣本笃•波斯哥-saint-1011201,圣本笃•波斯哥,修院院长 St. Benedict Biscop,1月12日
圣本笃•若瑟•雷伯-saint-1041501,圣本笃•若瑟•雷伯,St. Benedict Joseph Labre,4月15日
圣林达-saint-1022702,圣林达,赛维拉主教 St. Leander,2月27日
圣柴诺-saint-1041202,圣柴诺,万罗纳主教 St. Zeno,4月12日
圣格时白-saint-1032001,圣格时白,主教 St. Cuthbert,3月20日
圣格肋多-saint-1042601,圣格肋多,殉道 St. Cletus,4月26日
圣格肋孟•浩卜-saint-1031502,圣格肋孟•浩卜,St. Clemlent Hofbauer,3月15日
圣格肋孟一世-saint-1112301,圣格肋孟一世,教宗殉道 St. Clement I -100,11月23日
圣梅多田-saint-1061401,圣梅多田,君士坦丁堡宗主教 St. Methodius I of Constantinople,6月14日
圣欧乐日-saint-1031101,圣欧乐日,殉道 St. Eulogius of Cordova,3月11日
圣欧千流-saint-1022001,圣欧千流,奥尔良主教 St. Eucherius,2月20日
圣欧杰-saint-1071303,圣欧杰,迦太基主教 St. Eugenius-505,7月13日
圣欧洛日-saint-1091302,圣欧洛日,亚历山大宗主教 St. Eulogius of Alexandlia,9月13日
圣欧瑟伯-saint-1062102,圣欧瑟伯,主教 St. Eusebius of Samoasta,6月21日
圣欧瑟伯-saint-1080201,圣欧瑟伯,凡尔则里主教 St. Eusebius of Vencelli,8月2日
圣母元后-saint-1082201,圣母元后,The Queenship of the Blessed Virgin Mary,8月22日
圣母圣名节-saint-1091201,圣母圣名节,The Holy Name of Mary,9月12日
圣母奉献日-saint-1112101,圣母奉献日,The Presentation of the Blessed Virgin Mary,11月21日
圣母忠仆会七位会祖-saint-1021701,圣母忠仆会七位会祖,the Founders of the Servite Order,2月17日
圣母无玷圣心-saint-7,圣母无玷圣心,,未知
圣母痛苦圣嘉俾厄尔-saint-1022701,圣母痛苦圣嘉俾厄尔,St. Gabriel Possenti,2月27日
圣母诸宠中保及中华圣母节-saint-1053102,圣母诸宠中保及中华圣母节,Our Lady of all Graces and Queen of China,5月31日
圣母赎虏-saint-1092401,圣母赎虏,Our Lady of Ransom,9月24日
圣比约•庇特來-saint-1092303,圣比约•庇特來,司铎 St. Pio of Pietrelcina.,9月23日
圣比约五世-saint-1043001,圣比约五世,教宗 Pius V Michele Ghislieril,4月30日
圣比约十世-saint-1082101,圣比约十世,教宗 St. Pius X,8月21日
圣毛禄院长-saint-1011502,圣毛禄院长,St. Maurus,1月15日
圣法比盎-saint-1012001,圣法比盎,法彬教宗殉道 St. Fabian,1月20日
圣波利卡浦-saint-1022301,圣波利卡浦,主教殉道 St. Polycarp,2月23日
圣波尼法爵-saint-1060501,圣波尼法爵,圣博义总主教殉道 St. Boniface,6月5日
圣波尼法爵四世-saint-1050801,圣波尼法爵四世,St. Boniface IV,5月8日
圣波罗德格、圣波太米诺及其他殉道烈士-saint-1062802,圣波罗德格、圣波太米诺及其他殉道烈士,Ss. Blutarch Potamiaena and their Companions,6月28日
圣波菲利-saint-1022602,圣波菲利,迦萨主教 St. Porphyry,2月26日
圣泰拉修-saint-1022502,圣泰拉修,君士坦丁堡宗主教 St. Tarsius,2月25日
圣洛克-saint-1081602,圣洛克,St. Rock,8月16日
圣济利禄-saint-1031801,圣济利禄,St. Cyril,3月18日
圣济利禄-saint-1062701,圣济利禄,亚历山大主教圣师 St. Cyril,6月27日
圣济利禄•凯撒利亚-saint-1052901,圣济利禄•凯撒利亚,殉道 St. Cyril of Caesarea,5月29日
圣济利禄、圣美铎第-saint-1021401,圣济利禄、圣美铎第,主教 Ss. Cyril and Methodius,2月14日
圣炳德西-saint-1072101,圣炳德西,St. Laurence of Brindisi,7月21日
圣热罗尼莫-saint-1093001,圣热罗尼莫,圣师 St. Jerome,9月30日
圣热罗莫•爱弥廉-saint-1020801,圣热罗莫•爱弥廉,St. Jierome Emiliani,2月8日
圣爱弗冷-saint-1060901,圣爱弗冷,圣师 St. Ephraem,6月9日
圣爱弥理-saint-1092002,圣爱弥理,童贞圣家女修会创办人 St. Emily de Rodat,9月20日
圣爱徐亚-saint-1092701,圣爱徐亚,St. Eleazar de Sabran,9月27日
圣爱德华-saint-1101301,圣爱德华,St. Edward Confessor 1004-1066,10月13日
圣爱德门-saint-1111603,圣爱德门,坎特布里总主教 St. Edmund of Abingdon,11月16日
圣爱比巴巨、圣亚历山大-saint-1042202,圣爱比巴巨、圣亚历山大,殉道 Ss. Epipodius and Alexander,4月22日
圣爱琉德理-saint-1090601,圣爱琉德理,院长 St. Eleutherius,9月6日
圣爱美兰霞-saint-1012301,圣爱美兰霞,童贞殉道 St. Emerentiana,1月23日
圣牛曼-saint-1010501,圣牛曼,St. John Nepornucene Neumann,1月5日
圣犹思定殉道-saint-1060101,圣犹思定殉道,St. Justin,6月1日
圣狄尼削-saint-1111902,圣狄尼削,亚历山大主教 St. Dionysius of Alexandria,11月19日
圣玛利亚•玛萨利洛-saint-1051302,圣玛利亚•玛萨利洛,母佑会副会祖 St. Mary Mazzarello,5月13日
圣玛塞洛-saint-1103001,圣玛塞洛,殉道 St. Marcellus the Cenlurion,10月30日
圣玛尔大、圣玛利亚及圣拉匝禄-saint-1072901,圣玛尔大、圣玛利亚及圣拉匝禄,"St. Martha, Mary and Lazarus",7月29日
圣玛尔定-saint-1110301,圣玛尔定,St. Martin de Porres 1579-1639,11月3日
圣玛尔定-saint-1111101,圣玛尔定,都尔主教 St. Martin of Tours,11月11日
圣玛尔定一世-saint-1041301,圣玛尔定一世,教宗殉道 St. Martin I,4月13日
圣玛策林、圣伯多禄-saint-1060201,圣玛策林、圣伯多禄,殉道 Ss. Marcellinus and Peter,6月2日
圣玛蒂银“隐修士”-saint-1021302,圣玛蒂银“隐修士”,St. Martinian the Hermit,2月13日
圣玛达肋纳•沙斐•亚巴拉-saint-1052503,圣玛达肋纳•沙斐•亚巴拉,童贞圣心女修会会祖 St. Madeleine Sophie Barat,5月25日
圣珈尔-saint-1070101,圣珈尔,克来门主教 St. Gall,7月1日
圣理查德-saint-1040301,圣理查德,St. Richard,4月3日
圣理诺-saint-1092301,圣理诺,教宗殉道 St. Linus,9月23日
圣瑰玛•甘甘妮-saint-1041102,圣瑰玛•甘甘妮,St. Gemma Galgan,4月11日
圣盎博罗削-saint-1120701,圣盎博罗削,米兰主教圣师 St. Ambrose 340-397,12月7日
圣祁•安德烈-saint-1091202,圣祁•安德烈,St. Guy of Anderlecht,9月12日
圣祺肋-saint-1090101,圣祺肋,院长 St. Giles,9月1日
圣福若瑟-saint-1012902,圣福若瑟,司铎 St. Joseph Freinademetz,1月29日
圣福里安-saint-1050401,圣福里安,殉道 St. Florian,5月4日
圣福门舒-saint-1102701,圣福门舒,亚克松主教 St. Frumentius 330-380,10月27日
圣童郑安道-saint-1020602,圣童郑安道,,2月6日
圣米济亚德-saint-1121002,圣米济亚德,教宗殉道 St. Miltiades -314,12月10日
圣类思•公撒格-saint-1062101,圣类思•公撒格,St. Aloysius,6月21日
圣索台禄-saint-1042201,圣索台禄,教宗殉道 St. Soter,4月22日
圣约纳和巴拉古-saint-1032902,圣约纳和巴拉古,殉道 Ss. Jonas and Barachisius,3月29日
圣维克多-saint-1052101,圣维克多,殉道 St. Victor of Marseilles,5月21日
圣维琪尔-saint-1112701,圣维琪尔,苏士堡主教 St. Virgil of Salzburg -784,11月27日
圣罗伯多•贝勒明-saint-1091701,圣罗伯多•贝勒明,加菩亚主教枢机圣师 St. Robert Bellarmine,9月17日
圣罗慕铎-saint-1061901,圣罗慕铎,院长卡马尔修会会祖 St. Romuald,6月19日
圣罗拔-saint-1060703,圣罗拔,纽明特院长 St. Robert,6月7日
圣老楞佐-saint-1020302,圣老楞佐,主教 St. Laurence,2月3日
圣老楞佐•儒斯定-saint-1090501,圣老楞佐•儒斯定,威尼斯宗主教 St. Laurence Giustiniani,9月5日
圣老楞佐•奥多-saint-1111401,圣老楞佐•奥多,都柏林总主教 St. Laurence O'Toole,11月14日
圣胡伯-saint-1112902,圣胡伯,列日主教 St. Hubert -727,11月29日
圣良一世-saint-1111001,圣良一世,主教 St. Leo the Great,11月10日
圣良九世-saint-1041901,圣良九世,教宗 St. Leo IX. Bruno,4月19日
圣良纳-saint-1112601,圣良纳,St. Leonard of Port Mauriee 1676-1751,11月26日
圣良纳弟-saint-1110602,圣良纳弟,St. Leonard of Noblac,11月6日
圣艾士波和卓娅-saint-1070801,圣艾士波和卓娅,殉道 Ss. Hesperus and Zoa-135,7月8日
圣芬明-saint-1112401,圣芬明,殉道 St. Finmin -303)、圣芬伯(主教 St. Finbar -633,11月24日
圣若撒法-saint-1111201,圣若撒法,波罗总主教殉道 St. Joaphat of Polotsk,11月12日
圣若望·保禄二世-saint-1102201,圣若望·保禄二世,教宗 St. John Paul II,10月22日
圣若望“埃及人”-saint-1032701,圣若望“埃及人”,St. John of Egypt,3月27日
圣若望“由十字架者”-saint-1121401,圣若望“由十字架者”,圣师 St. John of the Cross,12月14日
圣若望•亚维拉-saint-1051002,圣若望•亚维拉,St. John of Avila,5月10日
圣若望•伯尔各满-saint-1112502,圣若望•伯尔各满,St. John Berchmans,11月25日
圣若望•克利马古-saint-1033001,圣若望•克利马古,院长 St. John Climacus,3月30日
圣若望•安其味-saint-1031002,圣若望•安其味,St. John Ogilve 1580-1615,3月10日
圣若望•方济各•雷奇-saint-1061601,圣若望•方济各•雷奇,St. John Francis Regis,6月16日
圣若望•欧德-saint-1081901,圣若望•欧德,耶稣圣母会及仁爱圣母会创办人 St. John Eudes,8月19日
圣若望•比华力-saint-1050701,圣若望•比华力,St. John of Beverley,5月7日
圣若望•波利多-saint-1020401,圣若望•波利多,殉道 St. John de Britto,2月4日
圣若望•玛达-saint-1020802,圣若望•玛达,圣三赎虏会副会祖 St. John of Matha,2月8日
圣若望•瑟哈公-saint-1061201,圣若望•瑟哈公,St. John of Sahagun,6月12日
圣若望•良纳弟-saint-1100902,圣若望•良纳弟,天主之母会会祖 St. John Leonardi 1543-1609,10月9日
圣若望•费生-saint-1062202,圣若望•费生,主教枢机 St. John Fisher,6月22日
圣若望•贾必昌-saint-1102301,圣若望•贾必昌,St. John of Capistrano,10月23日
圣若望•达玛森-saint-1120401,圣若望•达玛森,圣师 St. John Damascene,12月4日
圣若望一世-saint-1051801,圣若望一世,教宗殉道 St. John I,5月18日
圣若望二十三世-saint-1101102,圣若望二十三世,教宗 St. John XXIII,10月11日
圣若望宗徒拉丁门前受鼎镬刑-saint-1050601,圣若望宗徒拉丁门前受鼎镬刑,St. John Before the Latin Gate,5月6日
圣若望根地-saint-1122301,圣若望根地,St. John of Kanti 1297-1473,12月23日
圣若瑟•古白定-saint-1091801,圣若瑟•古白定,St. Joseph of Cupertino,9月18日
圣若瑟•嘉法沙-saint-1062301,圣若瑟•嘉法沙,St. Joseph Cafasso,6月23日
圣若瑟•奥利沃-saint-1032302,圣若瑟•奥利沃,St. Joseph Oriol,3月23日
圣若瑟•巴勒斯坦-saint-1072202,圣若瑟•巴勒斯坦,St. Joseph of Palestine,7月22日
圣若瑟•巴尔撒巴-saint-1072002,圣若瑟•巴尔撒巴,St. Joseph Barsabas,7月20日
圣若瑟•高登伦哥-saint-1042902,圣若瑟•高登伦哥,St. Joseph Cottolengo,4月29日
圣若翰•兰沙-saint-1040701,圣若翰•兰沙,St. John Baptist de la Salle,4月7日
圣若翰•维雅纳-saint-1080401,圣若翰•维雅纳,St. John Vianney,8月4日
圣若翰•路西-saint-1052301,圣若翰•路西,St. John Baptist Rossi,5月23日
圣若翰洗者蒙难-saint-1082901,圣若翰洗者蒙难,The Beheading of St. John the Baptist,8月29日
圣葛利农-saint-1042801,圣葛利农,St. Louis Mary Grignion of Monffort,4月28日
圣葛斯默、圣达弥盎-saint-1092601,圣葛斯默、圣达弥盎,殉道 Ss. Cosmas and Damian,9月26日
圣西尔物斯德肋-saint-1123101,圣西尔物斯德肋,思维 St. Silvestes 314-335,12月31日
圣西尔物留-saint-1062001,圣西尔物留,教宗殉道 St. Silverius,6月20日
圣西弗里-saint-1092501,圣西弗里,威马院长 St. Ceolfrid,9月25日
圣西斯督三世-saint-1032801,圣西斯督三世,教宗 St. Sixrus III,3月28日
圣西斯督二世-saint-1080701,圣西斯督二世,教宗殉道 St. Sixtus II,8月7日
圣西满-saint-1021801,圣西满,主教殉道 St. Simeon,2月18日
圣西满•斯道克-saint-1051601,圣西满•斯道克,St. Simon Stock,5月16日
圣西略及圣国瑞•纳祥-saint-1010201,圣西略及圣国瑞•纳祥,St. Basil the Great & Gregory Nazianxen,1月2日
圣西默盎“石柱人”-saint-1010502,圣西默盎“石柱人”,St. Simeon the Stylite,1月5日
圣许格-saint-1040101,圣许格,格肋诺主教 St. Hugh of Grenoble,4月1日
圣诺贝特-saint-1060601,圣诺贝特,诺博马德堡总主教 波利荣拉登修会会祖 St. Norbert,6月6日
圣谛步爵、圣华肋廉、圣玛息莫-saint-1041401,圣谛步爵、圣华肋廉、圣玛息莫,"殉道 Ss. Tiburtius, Valerius and Maxiuss",4月14日
圣贝尼杜-saint-1081302,圣贝尼杜,St. Benildus,8月13日
圣赖孟多-saint-1010701,圣赖孟多,St. Raymond of Penyafort,1月7日
圣赖孟多•农纳都-saint-1083101,圣赖孟多•农纳都,枢机 St. Raymund Nonnatus,8月31日
圣赫利巴-saint-1031601,圣赫利巴,高郎总主教 St. Heribert,3月16日
圣路伯-saint-1032901,圣路伯,沙伯主教 St. Rupert,3月29日
圣路基-saint-1032601,圣路基,孟斯脱主教 St. Ludger,3月26日
圣路易-saint-1082501,圣路易,St. Louis of France,8月25日
圣路易•安日-saint-1081902,圣路易•安日,都鲁士主教 St. Louis of Anjou,8月19日
圣路登-saint-1021202,圣路登,St. Ludan,2月12日
圣达味-saint-1030101,圣达味,米尼主教 St. David 495-589,3月1日
圣达尼尔隐修士-saint-1033101,圣达尼尔隐修士,St. Daniel of Murano,3月31日
圣达尼老-saint-1041101,圣达尼老,主教殉道 St. Stanislaus,4月11日
圣达尼老•各斯加-saint-1111301,圣达尼老•各斯加,St. Stanislaus Kostka 1550-1568,11月13日
圣达玛稣一世-saint-1121101,圣达玛稣一世,圣达生 St. Damasus 366-384,12月11日
圣达米盎-saint-1060402,圣达米盎,St. Damian,6月4日
圣迈达-saint-1060801,圣迈达,万孟杜主教 St. Medard,6月8日
圣邦康-saint-1051202,圣邦康,St. Pancras,5月12日
圣金大建及同伴殉道-saint-1092003,圣金大建及同伴殉道,Ss. Andrew Kim Taegon and Companions,9月20日
圣阿加道-saint-1011001,圣阿加道,教宗 St. Agatho,1月10日
圣阿尼塞多-saint-1041701,圣阿尼塞多,教宗殉道 St. Anicetus,4月17日
圣雅纳略主教及其他殉道烈士-saint-1091901,圣雅纳略主教及其他殉道烈士,Ss. Januarius and his Companions,9月19日
圣雅钦多-saint-1081701,圣雅钦多,St. Hyachinth,8月17日
圣额我略“显灵迹者”-saint-1111901,圣额我略“显灵迹者”,新则撒肋主教 St. Gregory the Wonderworker 215-268,11月19日
圣额我略•巴巴里果-saint-1061803,圣额我略•巴巴里果,枢机主教 St. Gregory Barbarigo,6月18日
圣额我略一世-saint-1090301,圣额我略一世,教宗圣师 St. Gregory the Great,9月3日
圣额我略七世教宗-saint-1052502,圣额我略七世教宗,St. Gregory VII,5月25日
圣马塞兰-saint-1041803,圣马塞兰,St. Marcellin Chanmagnat,4月18日
圣马塞录一世-saint-1011601,圣马塞录一世,教宗殉道 St. Marcellus,1月16日
圣马尔谷、圣玛策廉-saint-1061801,圣马尔谷、圣玛策廉,殉道 Ss. Mark and MareeUian,6月18日
圣高尔内略及圣西彼廉主教-saint-1091601,圣高尔内略及圣西彼廉主教,殉道 St. Cornelius & St. Cyprian,9月16日
圣高弗烈-saint-1110801,圣高弗烈,亚弥央斯主教 St. Godfrey -1115,11月8日
圣高德乐-saint-1020901,圣高德乐,精修 St. Miguel Febres Cordero,2月9日
圣高比司铎-saint-1081402,圣高比司铎,"殉道 St. Maximilian Kolbe, Priest and Martyr",8月14日
圣高洛巨及其同班-saint-1082303,圣高洛巨及其同班,"Ss. Claudius, Asterius, Neon, Domnina and Theonilla",8月23日
圣高登雪-saint-1021201,圣高登雪,主教 St. Gaudentius,2月12日
圣高隆巴-saint-1060902,圣高隆巴,约纳院长 St. Columba,6月9日
圣高隆庞-saint-1112302,圣高隆庞,St. Columban -615,11月23日
圣高隆汴-saint-1021503,圣高隆汴,St. Claud La Colombiere,2月15日
圣鲍思高-saint-1013101,圣鲍思高,慈幼会会祖 St. John Bosco,1月31日
大圣若瑟劳工主保-saint-1050101,大圣若瑟劳工主保,St. Joseph the Worker,5月1日
天赐圣若望-saint-1030801,天赐圣若望,St. John of God,3月8日
护守天使-saint-1100201,护守天使,The Guardian Angels,10月2日
教会之母-saint-10,教会之母,,未知
日本殉道烈士-saint-1060102,日本殉道烈士,"The Martyrs of Japan, II",6月1日
法蒂玛圣母-saint-1051301,法蒂玛圣母,Our Lady of Fatima,5月13日
洛雷托圣母-saint-1121001,洛雷托圣母,,12月10日
玫瑰圣母节-saint-1100701,玫瑰圣母节,Our Lady's Rosary,10月7日
痛苦圣母-saint-1091501,痛苦圣母,Our Lady of Sorrows,9月15日
真福亚尔丰索-saint-1072801,真福亚尔丰索,童贞 Bd. Alphonsa Muttathupadathu 1910-1946,7月28日
真福亚松大-saint-1040802,真福亚松大,Bd. Maria Assunta,4月8日
真福亚纳•玛利亚•泰琪-saint-1060903,真福亚纳•玛利亚•泰琪,Bd. Anne Mary Taigi,6月9日
真福伯多禄•儒里安•爱麦-saint-1080302,真福伯多禄•儒里安•爱麦,至圣圣体修会会祖 Bd. Peter Julian Eymard,8月3日
真福伯多禄•法华-saint-1081102,真福伯多禄•法华,Bd. Peter Favre,8月11日
真福伯多禄•玛格里诺-saint-1073002,真福伯多禄•玛格里诺,Bd. Peter of Mogliano,7月30日
真福依撒伯尔-saint-1111701,真福依撒伯尔,童贞 Bd. Elizabeth the Good,11月17日
真福儒万纳•安西诺-saint-1083102,真福儒万纳•安西诺,沙吕查主教 Bd. Juvenal Ancina,8月31日
真福儒利亚纳-saint-1040502,真福儒利亚纳,童贞 Bd. Juliana of Mount Cornillon,4月5日
真福儒斯定-saint-1073102,真福儒斯定,尼洛波利主教 Bd. Justin de Jacobis,7月31日
真福加大利纳•拉谷尼-saint-1090402,真福加大利纳•拉谷尼,童贞 Bd. Catherine of Racconigi 1486-1547,9月4日
真福吉利-saint-1042302,真福吉利,Bd. Giles of Assisi,4月23日
真福味增济亚-saint-1122602,真福味增济亚,童贞 无玷圣母修会创办人 Bd. Vincentia Lopez 1847-1890,12月26日
真福和德理精修-saint-1011401,真福和德理精修,Bd. Odoric of Pordenone,1月14日
真福多默•李斯斐-saint-1070102,真福多默•李斯斐,Bd. Thomas Maxfield,7月1日
真福多默•福特及其他殉道烈士-saint-1052802,真福多默•福特及其他殉道烈士,Bd. Thomas Ford and his Campanions,5月28日
真福奥撒南-saint-1082202,真福奥撒南,,8月22日
真福奥斯定•诺未洛-saint-1051902,真福奥斯定•诺未洛,Bd. Augustine Novello,5月19日
真福安多尼•白田诺西-saint-1110702,真福安多尼•白田诺西,Bd. Antony Baldinucci,11月7日
真福安多尼毕马田和伙伴-saint-1081401,真福安多尼毕马田和伙伴,殉道 Bb. Antony Primaldi and other Martyrs,8月14日
真福安日洛-saint-1103002,真福安日洛,Bd. Angeto of Acri,10月30日
真福宝拉-saint-1061102,真福宝拉,童贞圣多罗珊女修会会祖 Bd. Paula Frassinetti,6月11日
真福尤丽•贝略-saint-1040801,真福尤丽•贝略,童贞诺默圣母会副会祖 Bd. Julia Billiart,4月8日
真福巴蒂斯达•华拉妮-saint-1060702,真福巴蒂斯达•华拉妮,Bd. Baptista Varani,6月7日
真福弟茂德•奇嘉多-saint-1102202,真福弟茂德•奇嘉多,Bd. Timothy Giocarde 1896-1948,10月22日
真福日安当-saint-1021502,真福日安当,Bd. Jordan of Saxony,2月15日
真福李维娜-saint-1041402,真福李维娜,童贞 Bd. Lydwina of Schiedam,4月14日
真福查瓦拉-saint-1010302,真福查瓦拉,Bd. Kuriakose Elias Chavara,1月3日
真福欧伯-saint-1040902,真福欧伯,Bd. Ubald of Florence,4月9日
真福爱德门•江本-saint-1120102,真福爱德门•江本,Bd. Edmund Campion,12月1日
真福玛利亚•德玛帝亚-saint-1082002,真福玛利亚•德玛帝亚,童贞宝血会创办人 Bd. Mary of Mattias,8月20日
真福玛加大•格利塞罗-saint-1032502,真福玛加大•格利塞罗,殉道 Bd. Margaret Clitherow,3月25日
真福痛苦玛利亚修女-saint-1111502,真福痛苦玛利亚修女,Bl. Mary of the Passion,11月15日
真福白亚蒂斯-saint-1081803,真福白亚蒂斯,童贞圣母无原罪始胎会创办人 Bd. Beatrice da Silva,8月18日
真福米凯琳-saint-1062002,真福米凯琳,Bd. Michelina of Pesaro,6月20日
真福罗撒-saint-1050702,真福罗撒,童贞 Bd. Rose Venerini,5月7日
真福若尔当-saint-1030602,真福若尔当,Bd. Jordan of Pisa,3月6日
真福若望·董思高-saint-1110802,真福若望·董思高,司铎圣师 St. John Duns Scott 1266—1308,11月8日
真福若望•德盖、赖夫•高比-saint-1090702,真福若望•德盖、赖夫•高比,殉道 Bb. John Duckett and Ralph Corby,9月7日
真福若望•沙肋诺-saint-1080902,真福若望•沙肋诺,Bd. John of Salerno 1190-1242,8月9日
真福若望狄洛及其他殉道烈士-saint-1090202,真福若望狄洛及其他殉道烈士,亚尔斯总主教 Bd. John du Lau and his Companions,9月2日
真福若翰纳•德拉诺-saint-1081702,真福若翰纳•德拉诺,圣亚纳创办人 Bd. Joan Delanoue,8月17日
真福贝脱郎-saint-1090602,真福贝脱郎,Bd. Bertrand of Garrigues,9月6日
真福费列尼-saint-1102702,真福费列尼,Bd. Contardo Ferrini,10月27日
真福路道味•巴华尼-saint-1040102,真福路道味•巴华尼,无玷圣母之子会会祖 Bd. Ludovic Pavoni,4月1日
真福辣法厄尔•玛利亚-saint-1010602,真福辣法厄尔•玛利亚,童贞圣心婢女会会祖 Bd. Raphaela Mary,1月6日
真福雷永明-saint-1013003,真福雷永明,司铎 Bd. Gabriele Allegra,1月30日
真福额我略十世-saint-1011002,真福额我略十世,教宗 Bd. Gregory X,1月10日
真福高隆巴-saint-1052002,真福高隆巴,童贞 Bd. Columba of Rieti,5月20日
福女安日拉-saint-1022802,福女安日拉,Bd. Angela of Foligno,2月28日
福女玛利亚-saint-1041802,福女玛利亚,Bd. Mary of the Incarnation,4月18日
福女若基玛-saint-1052202,福女若基玛,加尔默罗会祖 Bd. Joachima de Mas de Veruna,5月22日
罗马圣母大殿奉献日-saint-1080501,罗马圣母大殿奉献日,The Dedication of the Basilica of St. Mary Major,8月5日
罗马第一批殉道烈士-saint-1063001,罗马第一批殉道烈士,"Martyrs of Rome, I",6月30日
耶稣圣名-saint-1010301,耶稣圣名,,1月3日
色巴德等四十位圣人殉道-saint-1031001,色巴德等四十位圣人殉道,the Forty Martyrs of Sebastea,3月10日
英格兰和威尔士殉道烈士-saint-1050402,英格兰和威尔士殉道烈士,the Martyrs of England and Wales,5月4日
越南殉道烈士-saint-1071201,越南殉道烈士,"the Martyrs of Indo-China, I",7月12日
越南第二批殉道烈士-saint-1110601,越南第二批殉道烈士,"The Martyrs of Indo-China, II",11月6日
里昂及维安殉道烈士-saint-1060202,里昂及维安殉道烈士,"St. Pothinus and his Companions, the Martyrs of Lyons and Vienne",6月2日
金口圣若望-saint-1091301,金口圣若望,主教圣师 St. John Chrysostom,9月13日
露德圣母显现-saint-1021101,露德圣母显现,the Appearing of our Lady at Lourdes,2月11日
马略、玛尔大、奥地法和亚巴古-saint-1011902,马略、玛尔大、奥地法和亚巴古,"殉道 Ss. Marius, Maltha, Audifax & Abachum",1月19日
高兰蒂•玛利亚-saint-1070601,高兰蒂•玛利亚,童贞殉道 St. Maria Goretti,7月6日
